cod; tit;desc;
756; Recursos de Alienação de Bens/Ativos - Administração Indireta;Controle dos recursos decorrentes da alienação de bens da Administração Indireta, nos termos do art. 44 da Lei Complementar nº 101/2000.;
758; Recursos de Depósitos Judiciais – Lides das quais o Ente não faz parte;Controle dos recursos de depósitos judiciais apropriados pelo ente de lides das quais o ente não faz parte, com base no art. 101 do ADCT da Constituição Federal.;
759; Recursos Vinculados a Fundos;Controle dos recursos vinculados a fundos, com exceção dos fundos relacionados à saúde, à educação, à assistência social, ao combate e erradicação da pobreza e aos regimes de previdência. Devem ser controlados com esse código apenas os recursos vinculados aos fundos por lei, cuja classificação ocorra no momento da arrecadação dos recursos.;
761; Recursos vinculados ao Fundo de Combate e Erradicação da Pobreza;Controle dos recursos vinculados ao Fundo de Combate e Erradicação da Pobreza, na forma prevista no art. 82 do ADCT e da Lei Complementar nº 111, de 6 de julho de 2001.;
799; Outras Vinculações Legais;Controle de outros recursos vinculados por lei, não enquadrados nas especificações anteriores.;
800; Recursos Vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário);Controle dos recursos vinculados ao fundo em capitalização do RPPS. Esse plano existe tanto nos entes que segregaram quanto nos que não segregaram a massa dos segurados, observando-se o disposto na Portaria MF nº 464/2018. Na fase das despesas, será necessário associar esta fonte ao marcador que identifica a qual Poder ou Órgão se refere a despesa quando ela é executada no PO RPPS.;
801; Recursos Vinculados ao RPPS - Fundo em Repartição (Plano Financeiro);Controle dos recursos vinculados ao fundo em repartição do RPPS. Esse plano deve existir somente nos entes que segregaram a massa dos segurados, observando-se o disposto na Portaria MF nº 464/2018. Na fase da despesa, será necessário associar esta fonte ao marcador que identifica a qual Poder ou Órgão se refere a despesa quando ela é executada no PO RPPS.;
802; Recursos Vinculados ao RPPS - Taxa de Administração;Controle dos recursos destinados ao custeio das despesas necessárias à organização e ao funcionamento da unidade gestora do RPPS, observando-se o disposto na Portaria MPS nº 402/2008 e na Portaria MF nº 464/2018, ambas alteradas pela Portaria ME nº 19.451/2020.;
862; Recursos de Depósitos de Terceiros;Controle dos recursos financeiros decorrentes de depósitos de terceiros.;
869; Outros Recursos Extraorçamentários;Controle dos demais recursos financeiros extraorçamentários, como, por exemplo, retenções e consignações.;
898; Recursos a Classificar;Classificação temporária enquanto não se identifica a correta vinculação.;
899; Outros Recursos Vinculados;Controle dos recursos cuja aplicação seja vinculada e não tenha sido enquadrado em outras especificações.;
1; Transferências de Recursos para o Programa Estadual de Transporte Escolar (PTE);Recursos de transferências do Estado, de forma direta, para o transporte de estudantes residentes em zonas rurais.;
2; Serviços de Saúde;Recursos provenientes da receita da remuneração por serviços produzidos, decorrentes da prestação de serviços de saúde, hospitalares, gerais ou especializados, maternidade, centro de reabilitação, assistência médico-odontológica (inclusive ambulatorial), saúde pública etc. Esta classificação contempla ainda os recursos do Sistema Único de Saúde (SUS) pagos diretamente pela União aos prestadores do serviço de saúde.;
3; Serviços Educacionais;Recursos provenientes da arrecadação de receitas auferidas pelas atividades do sistema educacional, cuja natureza esteja diretamente relacionada à formação do educando (matrículas, anuidades etc.). As receitas de atividades auxiliares, de apoio ou derivadas dos serviços educacionais propriamente ditos, devem ser classificadas nos títulos apropriados. Exemplos: matrículas e anuidades, serviços educacionais, serviço de credenciamento, autorização e reconhecimento de cursos, tarifas de expedição de documentos, fotocópias, cópias heliográficas etc.;
4; Transferência referente ao Acordo Judicial de Reparação dos Impactos Socioeconômicos e Ambientais do Rompimento da Barragem de Fundão;Controle dos recursos provenientes do acordo judicial de reparação dos impactos socioeconômicos e ambientais do rompimento da Barragem de Fundão.;
5; Repasse tarifário para os Fundos Municipais de Saneamento;Controle dos recursos a que se refere o art. 13 da Lei n° 11.445, de 5 de janeiro de 2007, repassados a fundos municipais de saneamento.;
6; Contribuição para a Assistência à Saúde dos Servidores: Patronal, dos Servidores, dos Prestadores de Serviços Contratados;Recursos provenientes da contribuição para a assistência à saúde, recebidos dos empregadores, dos servidores e dos prestadores de serviços contratados.;
7; Transferências de Convênios Vinculados à Segurança Pública;Recursos provenientes do Fundo Nacional de Segurança Pública recebidos por meio de convênio, de contrato de repasse ou de instrumento congênere, nos termos do disposto no inciso II do caput do artigo 7º da Lei nº 13.756/2018.;
8; Disponibilidade de Caixa vinculada a Restos a Pagar considerados na Aplicação Mínima da Saúde e posteriormente Cancelados ou Prescritos;Recursos provenientes dos restos a pagar considerados para fins de aplicação mínima em ações e serviços públicos de saúde e posteriormente cancelados ou prescritos, nos termos dos §§1° e 2° do art. 24 da Lei Complementar n° 141, de 13 de janeiro de 2012, que deverão ser, necessariamente, aplicados em ações e serviços de saúde até o término do exercício seguinte ao do cancelamento ou da prescrição dos respectivos restos a pagar. Controle determinado pelo art. 6º da Instrução Normativa n° 5, de 19/12/2012 , do TCEMG.;
9; Disponibilidade de Caixa vinculada a Restos a Pagar considerados na Aplicação Mínima da Educação e posteriormente Cancelados ou Prescritos;Recursos provenientes dos restos a pagar considerados para fins de aplicação mínima na manutenção e desenvolvimento do ensino e posteriormente cancelados ou prescritos, nos termos do §5° do art. 16 da Instrução Normativa n° 02/2021, que serão compensados pela aplicação em despesas em MDE no exercício de referência, além da aplicação para cumprimento do limite constitucional. Controle determinado pelo art. 6º da Instrução Normativa n° 5, de 19/12/2012 , do TCEMG.;
10; Transferência Especial do Estado - Acordo Judicial de Reparação dos Impactos Socioeconômicos e Ambientais do Rompimento de Barragem em Brumadinho;Controle dos recursos transferidos pelo Estado, por meio de transferência especial, provenientes do acordo judicial de reparação dos impactos socioeconômicos e ambientais do rompimento de barragem em Brumadinho celebrado com a Vale S.A., de execução orçamentária e financeira obrigatória, conforme disposto no art. 157 do ADCT da Constituição do Estado.;
11; Transferência da União da parcela dos Bônus de Assinatura de Contrato de Partilha de Produção;Recursos de transferência da União relativos aos valores arrecadados da cessão onerosa do bônus de assinatura do pré-sal, destinados alternativamente para criação de reserva financeira específica para pagamento das despesas previdenciárias com os fundos previdenciários de servidores públicos ou com as contribuições sociais de que tratam as alíneas a e c do parágrafo único do art. 11 da Lei nº 8.212, de 24 de julho de 1991, inclusive os decorrentes do descumprimento de obrigações acessórias e os de contribuições incidentes sobre o décimo terceiro salário, do respectivo ente e de todas as pessoas jurídicas de direito público e privado integrantes de sua administração direta e indireta, ressalvadas as empresas estatais independentes, vincendas até o exercício financeiro do ano subsequente ao ano da transferência de recursos pela União; ou investimento, conforme previsto no § 3° do art.1° da Lei n° 13.885/2019.;
12; Transferência de Recursos para aplicação em Ações Emergenciais de Apoio ao Setor Cultural (Lei Aldir Blanc);Recursos de transferência da União destinados a ações emergenciais de apoio ao setor cultural, nos termos da Lei nº 14.017, de 29 de junho de 2020.;
13; Outras Receitas Não Primárias;Recursos provenientes de receitas não primárias e não classificadas em fontes de recursos específicas.;
